BLOCK_NUMBER,BLOCK_TIMESTAMP,TIMESTAMP_SECONDS,TX_HASH,EOA,TOKEN_ADDRESS,TOKEN_SYMBOL,RAW_AMOUNT,DESTINATIONCHAIN
16582428,59:47.0,1675839587,0xcd7e7068bd3717e543807a0bc7ba2d7031a62a9254fa86406734dd47140bdc05,0x306de5f79f5f03e2145b9e777d2dedee2107d86a,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,500004605,Moonbeam
16538813,43:35.0,1675313015,0x47b0ae964492e60929604946d607c3d4e5a9205b7d3f371910949cdc4e37d9f9,0x23a4d7dba12d8023970a3bc33478a047d97ab632,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,984422524,Fantom
16681424,49:35.0,1677037775,0xe673490589e1f160fc99541b1f7d3f16fedd092734d9f0203a524aa9f3ecf636,0x6dea06ea9ef4e71dec5c25d0198852f1020bf6a0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,952523947,Fantom
16653459,30:23.0,1676698223,0xe81fd04723b632e0d9ff4fa48c2f60eb7c92f070b2687006459b2a919e837b70,0x1159627c925634ba51de863fd2d3bfa7a51a95e5,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,45827300,Fantom
16637487,42:35.0,1676504555,0x9ebc7ccae3264725521c17cdd583146da3c036f5141f247ef796ee25edc132fb,0x3527170d1316dd7434b1d457c68372fb584c1dd1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,170478581,Fantom
16604054,33:47.0,1676100827,0xd4b648aa7912bd77f672c2ba7bc728f43b21a9e8f6e1f0f115db9da99d7a39de,0x23038b2beccae773d9b830dde765ebdeb0249fba,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1000000000,Moonbeam
16521606,03:23.0,1675105403,0xaac2bbfaeaa84763f1dc4eeeb9ec71b8cf5886b92effec1cfc1299c90458808e,0xd8005e8edf656f8c9ee82287390b5a1ed8614211,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,15735049,Avalanche
16542591,25:11.0,1675358711,0x06ff742e3ebb7e74bd26118bbd4ea00eb894e55e6d102424cef00e5904fdd606,0x6529f35723a510f0a1e4f1bdb8c49843e2ddffbd,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,2940450000,Moonbeam
16672116,24:59.0,1676924699,0x4e1fa67d25f0ffa077c0a96f4457a793c8d653b1015d926f723d476e79c2bb28,0x9151eb811916ff4854cb59ea4c6002f96a13fc0e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,902368984,Moonbeam
16584480,53:11.0,1675864391,0xa901ed791b503d5fe9567de3d1219b6f22da37ad3cae97d5d036e7d1d7b90402,0x417eddd25d55bfac6360bedcb75b9b02750e6f9a,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,5399433147,Moonbeam
16487724,31:23.0,1674696683,0x23ec1f3e077ec43ddc091718a82423c0c576429abd5c80316db29c4ef7cfd4cb,0xa57adce1d2fe72949e4308867d894cd7e7de0ef2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1620116,Arbitrum
16584464,49:59.0,1675864199,0x9c0ef9db99d71c8ab426df818c68611f4735cac759f05f8fd74027adcc65e173,0x1cd025cde4c14fd36a6a539d2d4432bfba4c47f7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,2091340927,Moonbeam
16584678,33:11.0,1675866791,0xc1f26a67d97e71223d8238f2178d2b98732c3667f575699753d944f72a0c9dcc,0x3588fe526d92dfc8da9b9e812a7ba8d6c16cc63c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,33324730,Moonbeam
16576651,37:35.0,1675769855,0xe824fd702a3eec4978d66b32847097f22bb06d23c249e34191dff6208f496b5d,0x62c6e060ea69b7c6d145b73bc834ede9a1b7eed8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,98120030,Fantom
16091216,41:59.0,1669912919,0xe960c9d5099d0ec0790360fac1061b463cec67e13b5b88f42fed787dab268add,0x3e897ff1aec9a7b13538f628495fbd90fb0669ff,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,25317221,Avalanche
16131188,52:47.0,1670395967,0x023b40a71011698182aed1ad97f78090bd409aab82ac3619c1e0150a6ceb1418,0x225a5a875146089e9b628c10d9148e587f67317a,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,62524472,Avalanche
16672076,16:59.0,1676924219,0xb71c451446714794597767e5f4c86477b4b5149d27428ae1772c6368f1794f5b,0x29a07aaf29a5d9ceec1e735955172739e4b7e145,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,100000000,binance
16631440,24:23.0,1676431463,0x1261f890728e8405b25ac37a1bc0b9bc800e2ff21633f01a66411858ad61c103,0x7d374fe73fd8358a93c53e978477f7ba4129be0c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,126775949,Fantom
16650114,10:23.0,1676657423,0x332fd2cc504016827bc797703582dc16b6a8d0ea9590a698fd92b7b2a22b6125,0x36e1089f400c61379484e0b376e407ef0eb17df7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,987798317,Fantom
16631440,24:23.0,1676431463,0x539d9db8e661b24d189c5db7e8519d486e834564620b221a303694a302338ebf,0x5e86f18d50597a0c75de91972fc8261b46749fad,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,309335687,Fantom
16576648,36:59.0,1675769819,0xf27109cd95dac217721e194413f8b184a3426af4cd2bc752ee7577759529c917,0x8f5915a19eb2ba78bc90ad0317d9ed0d161cbfec,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,16352999,Moonbeam
16217498,18:35.0,1671437915,0xef2bcbcb98edfce0fde19c0efc6dde2ffc95812932097bf91f8f6dc5acf4f56a,0xb13cd07b22bc5a69f8500a1cb3a1b65618d50b22,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,70000000,Polygon
16540673,58:59.0,1675335539,0x5bcf6bb2e930cb70c397d823d10ee8447feddb83ccb01dcb62084b197f19986b,0x5dc3fad7105c40af78076bf791229fdbfc994324,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,333390115,Fantom
