BLOCK_NUMBER,BLOCK_TIMESTAMP,TIMESTAMP_SECONDS,TX_HASH,EOA,TOKEN_ADDRESS,RAW_AMOUNT,TOKEN_SYMBOL,DESTINATIONCHAIN
63894968,59:27.0,1677185967,0xe18a8a01e21b6b8cdc52948ea0fff7896fda91f5cc6528c76991e404132428a8,0x7dbd0f75aa91c757ae6564d41dd59669023d57a4,0xeb466342c4d449bc9f53a865d5cb90586f405215,900500,axlUSDC,Avalanch
58356606,08:42.0,1675642122,0x333a8f389106c3d9474589b4fb500d03cd2ec70908548f17dc5d1ecacae93918,0x7976801d47982d72697998c75aa878b737151ed7,0xeb466342c4d449bc9f53a865d5cb90586f405215,1629248,axlUSDC,Moonbeam
55292520,24:06.0,1674624246,0x2dbecc9d6635e327d7c30022dbce4725d89c57b1da2696d06029345999c5a133,0x8af962c13411f10214d5b50e4beacec42f37c537,0xeb466342c4d449bc9f53a865d5cb90586f405215,298161,axlUSDC,Fantom
57435132,27:02.0,1675344422,0x5cace05b31719dd9490b65591cb35cc4fdb22078943465909028fd5de8a74091,0x55543e721a5278ec9940c0e4966759bd63f6f571,0xeb466342c4d449bc9f53a865d5cb90586f405215,1099293,axlUSDC,Moonbeam
63796672,55:47.0,1677160547,0x28e6468846e5af11196c2b4c52c30a8d71a4696e091f6d2738eb649292c2459c,0x7976801d47982d72697998c75aa878b737151ed7,0xeb466342c4d449bc9f53a865d5cb90586f405215,1663842,axlUSDC,Fantom
63947728,11:38.0,1677201098,0x61ce466c17571b8a02417710e838fc05261436a60286db3d8c560d1eca6a6b91,0x7dbd0f75aa91c757ae6564d41dd59669023d57a4,0xeb466342c4d449bc9f53a865d5cb90586f405215,5002666,axlUSDC,Fantom
63796770,56:11.0,1677160571,0xb015a5bce390edc6b42e4d3ba609171a6610d9b42460de8a8bc87f818055b5f1,0x7976801d47982d72697998c75aa878b737151ed7,0xeb466342c4d449bc9f53a865d5cb90586f405215,166503,axlUSDC,Fantom
62834852,48:36.0,1676915316,0x0b0a9783e625a59ac9c6d62ae16b7fdc283478e9cdd17df84232968957b4659c,0x28e4d4d36938273f858851ddfe5719499a0ae74f,0xeb466342c4d449bc9f53a865d5cb90586f405215,1000136,axlUSDC,Arbitrum
47835008,48:28.0,1671634108,0x6e42521bf6a1fbba56eb9cfdfe22bbe7fc9c768ea9e211e393df447245b582a8,0x61be3ab867c83c04f156492eb487b13fc9a44583,0xeb466342c4d449bc9f53a865d5cb90586f405215,1214023,axlUSDC,Moonbeam
63796726,56:00.0,1677160560,0xb28f1fa3df070a0d2c01d99cccfb7395ca97096c93897d86739c90759dbeb5fc,0x7976801d47982d72697998c75aa878b737151ed7,0xeb466342c4d449bc9f53a865d5cb90586f405215,166443,axlUSDC,Fantom
